ONET_SOC_Code,Base_SOC,ONET_Title,FO_Score,FO_Probability,FO_Occupation,Mapping_Method
13-1021.00,13-1021,"Buyers and Purchasing Agents, Farm Products",87.0,0.87,Buyers and Purchasing Agents; Farm Products,direct
13-1022.00,13-1022,"Wholesale and Retail Buyers, Except Farm Products",29.0,0.29,Wholesale and Retail Buyers; Except Farm Products,direct
13-1023.00,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",77.0,0.77,Purchasing Agents; Except Wholesale; Retail; and Farm Products,direct
13-1031.00,13-1031,"Claims Adjusters, Examiners, and Investigators",98.0,0.98,Claims Adjusters; Examiners; and Investigators,direct
13-1032.00,13-1032,"Insurance Appraisers, Auto Damage",98.0,0.98,Insurance Appraisers; Auto Damage,direct
13-1041.00,13-1041,Compliance Officers,8.0,0.08,Compliance Officers,direct
13-1041.01,13-1041,Environmental Compliance Inspectors,8.0,0.08,Compliance Officers,direct
13-1041.03,13-1041,Equal Opportunity Representatives and Officers,8.0,0.08,Compliance Officers,direct
13-1041.04,13-1041,Government Property Inspectors and Investigators,8.0,0.08,Compliance Officers,direct
13-1041.06,13-1041,Coroners,8.0,0.08,Compliance Officers,direct
13-1041.07,13-1041,Regulatory Affairs Specialists,8.0,0.08,Compliance Officers,direct
13-1041.08,13-1041,Customs Brokers,8.0,0.08,Compliance Officers,direct
13-1051.00,13-1051,Cost Estimators,57.0,0.57,Cost Estimators,direct
13-1071.00,13-1071,Human Resources Specialists,55.2,0.552,[Group avg: 13-10],group_avg
13-1074.00,13-1074,Farm Labor Contractors,97.0,0.97,Farm Labor Contractors,direct
13-1075.00,13-1075,Labor Relations Specialists,55.2,0.552,[Group avg: 13-10],group_avg
13-1081.00,13-1081,Logisticians,1.2,0.012,Logisticians,direct
13-1081.01,13-1081,Logistics Engineers,1.2,0.012,Logisticians,direct
13-1081.02,13-1081,Logistics Analysts,1.2,0.012,Logisticians,direct
13-1082.00,13-1082,Project Management Specialists,55.2,0.552,[Group avg: 13-10],group_avg
13-1111.00,13-1111,Management Analysts,13.0,0.13,Management Analysts,direct
13-1121.00,13-1121,"Meeting, Convention, and Event Planners",3.7,0.037,Meeting; Convention; and Event Planners,direct
13-1131.00,13-1131,Fundraisers,24.850000000000005,0.24850000000000005,[Group avg: 13-11],group_avg
13-1141.00,13-1141,"Compensation, Benefits, and Job Analysis Specialists",47.0,0.47,Compensation; Benefits; and Job Analysis Specialists,direct
13-1151.00,13-1151,Training and Development Specialists,1.4,0.014,Training and Development Specialists,direct
13-1161.00,13-1161,Market Research Analysts and Marketing Specialists,61.0,0.61,Market Research Analysts and Marketing Specialists,direct
13-1161.01,13-1161,Search Marketing Strategists,61.0,0.61,Market Research Analysts and Marketing Specialists,direct
13-1199.00,13-1199,"Business Operations Specialists, All Other",23.0,0.23,Business Operations Specialists; All Other,direct
13-1199.04,13-1199,Business Continuity Planners,23.0,0.23,Business Operations Specialists; All Other,direct
13-1199.05,13-1199,Sustainability Specialists,23.0,0.23,Business Operations Specialists; All Other,direct
13-1199.06,13-1199,Online Merchants,23.0,0.23,Business Operations Specialists; All Other,direct
13-1199.07,13-1199,Security Management Specialists,23.0,0.23,Business Operations Specialists; All Other,direct
13-2011.00,13-2011,Accountants and Auditors,94.0,0.94,Accountants and Auditors,direct
