SOC_Code,Occupation,Probability,FO_Score,Original_SOC,Match_Method
17-1011,Architects; Except Landscape and Naval,0.018,1.8,17-1011,direct
17-1012,Landscape Architects,0.045,4.5,17-1012,direct
17-1021,Cartographers and Photogrammetrists,0.88,88.0,17-1021,direct
17-1022,Surveyors,0.38,38.0,17-1022,direct
17-2011,Aerospace Engineers,0.017,1.7,17-2011,direct
17-2021,Agricultural Engineers,0.49,49.0,17-2021,direct
17-2031,Biomedical Engineers,0.037,3.7,17-2031,direct
17-2041,Chemical Engineers,0.017,1.7,17-2041,direct
17-2051,Civil Engineers,0.019,1.9,17-2051,direct
17-2061,Computer Hardware Engineers,0.22,22.0,17-2061,direct
17-2071,Electrical Engineers,0.1,10.0,17-2071,direct
17-2072,Electronics Engineers; Except Computer,0.025,2.5,17-2072,direct
17-2081,Environmental Engineers,0.018,1.8,17-2081,direct
17-2111,Health and Safety Engineers; Except Mining Safety Engineers and Inspectors,0.028,2.8,17-2111,direct
17-2112,Industrial Engineers,0.029,2.9,17-2112,direct
17-2121,Marine Engineers and Naval Architects,0.01,1.0,17-2121,direct
17-2131,Materials Engineers,0.021,2.1,17-2131,direct
17-2141,Mechanical Engineers,0.011,1.1,17-2141,direct
17-2151,Mining and Geological Engineers; Including Mining Safety Engineers,0.14,14.0,17-2151,direct
17-2161,Nuclear Engineers,0.07,7.0,17-2161,direct
17-2171,Petroleum Engineers,0.16,16.0,17-2171,direct
17-2199,Engineers; All Other,0.014,1.4,17-2199,direct
17-3011,Architectural and Civil Drafters,0.52,52.0,17-3011,direct
17-3012,Electrical and Electronics Drafters,0.81,81.0,17-3012,direct
17-3013,Mechanical Drafters,0.68,68.0,17-3013,direct
17-3021,Aerospace Engineering and Operations Technicians,0.48,48.0,17-3021,direct
17-3022,Civil Engineering Technicians,0.75,75.0,17-3022,direct
17-3023,Electrical and Electronics Engineering Technicians,0.84,84.0,17-3023,direct
17-3024,Electro-Mechanical Technicians,0.81,81.0,17-3024,direct
17-3025,Environmental Engineering Technicians,0.25,25.0,17-3025,direct
17-3026,Industrial Engineering Technicians,0.03,3.0,17-3026,direct
17-3027,Mechanical Engineering Technicians,0.38,38.0,17-3027,direct
17-3029,Engineering Technicians; Except Drafters; All Other,0.24,24.0,17-3029,direct
17-3031,Surveying and Mapping Technicians,0.96,96.0,17-3031,direct
19-1011,Animal Scientists,0.061,6.1,19-1011,direct
19-1012,Food Scientists and Technologists,0.077,7.7,19-1012,direct
19-1013,Soil and Plant Scientists,0.021,2.1,19-1013,direct
19-1021,Biochemists and Biophysicists,0.027,2.7,19-1021,direct
19-1022,Microbiologists,0.012,1.2,19-1022,direct
19-1023,Zoologists and Wildlife Biologists,0.3,30.0,19-1023,direct
19-1029,Biological Scientists; All Other,0.015,1.5,19-1029,direct
19-1031,Conservation Scientists,0.016,1.6,19-1031,direct
19-1032,Foresters,0.0081,0.81,19-1032,direct
19-1041,Epidemiologists,0.2,20.0,19-1041,direct
19-1042,Medical Scientists; Except Epidemiologists,0.0045,0.45,19-1042,direct
19-2011,Astronomers,0.041,4.1,19-2011,direct
19-2012,Physicists,0.1,10.0,19-2012,direct
19-2021,Atmospheric and Space Scientists,0.67,67.0,19-2021,direct
19-2031,Chemists,0.1,10.0,19-2031,direct
19-2032,Materials Scientists,0.021,2.1,19-2032,direct
19-2041,Environmental Scientists and Specialists; Including Health,0.033,3.3,19-2041,direct
19-2042,Geoscientists; Except Hydrologists and Geographers,0.63,63.0,19-2042,direct
19-2043,Hydrologists,0.014,1.4,19-2043,direct
19-2099,Physical Scientists; All Other,0.43,43.0,19-2099,direct
19-3011,Economists,0.43,43.0,19-3011,direct
19-3022,Survey Researchers,0.23,23.0,19-3022,direct
19-3031,Clinical; Counseling; and School Psychologists,0.0047,0.47,19-3031,direct
19-3032,Industrial-Organizational Psychologists,0.012,1.2,19-3032,direct
19-3039,Psychologists; All Other,0.0043,0.43,19-3039,direct
19-3041,Sociologists,0.059,5.9,19-3041,direct
19-3051,Urban and Regional Planners,0.13,13.0,19-3051,direct
19-3091,Anthropologists and Archeologists,0.0077,0.77,19-3091,direct
19-3092,Geographers,0.25,25.0,19-3092,direct
19-3093,Historians,0.44,44.0,19-3093,direct
19-3094,Political Scientists,0.039,3.9,19-3094,direct
19-3099,Social Scientists and Related Workers; All Other,0.04,4.0,19-3099,direct
19-4011,Agricultural and Food Science Technicians,0.97,97.0,19-4011,direct
19-4021,Biological Technicians,0.3,30.0,19-4021,direct
19-4031,Chemical Technicians,0.57,57.0,19-4031,direct
19-4041,Geological and Petroleum Technicians,0.91,91.0,19-4041,direct
19-4051,Nuclear Technicians,0.85,85.0,19-4051,direct
19-4061,Social Science Research Assistants,0.65,65.0,19-4061,direct
19-4091,Environmental Science and Protection Technicians; Including Health,0.77,77.0,19-4091,direct
19-4092,Forensic Science Technicians,0.0095,0.95,19-4092,direct
19-4093,Forest and Conservation Technicians,0.42,42.0,19-4093,direct
19-4099,Life; Physical; and Social Science Technicians; All Other,0.61,61.0,19-4099,direct
21-1011,Substance Abuse and Behavioral Disorder Counselors,0.033,3.3,21-1011,direct
21-1012,Educational; Guidance; School; and Vocational Counselors,0.0085,0.85,21-1012,direct
21-1013,Marriage and Family Therapists,0.014,1.4,21-1013,direct
21-1014,Mental Health Counselors,0.0048,0.48,21-1014,direct
21-1015,Rehabilitation Counselors,0.0094,0.94,21-1015,direct
21-1021,Child; Family; and School Social Workers,0.028,2.8,21-1021,direct
21-1022,Healthcare Social Workers,0.0035,0.35,21-1022,direct
21-1023,Mental Health and Substance Abuse Social Workers,0.0031,0.31,21-1023,direct
21-1091,Health Educators,0.045,4.5,21-1091,direct
21-1092,Probation Officers and Correctional Treatment Specialists,0.25,25.0,21-1092,direct
21-1093,Social and Human Service Assistants,0.13,13.0,21-1093,direct
21-2011,Clergy,0.0081,0.81,21-2011,direct
21-2021,Directors; Religious Activities and Education,0.025,2.5,21-2021,direct
23-1011,Lawyers,0.035,3.5,23-1011,direct
23-1012,Judicial Law Clerks,0.41,41.0,23-1012,direct
23-1021,Administrative Law Judges; Adjudicators; and Hearing Officers,0.64,64.0,23-1021,direct
23-1022,Arbitrators; Mediators; and Conciliators,0.06,6.0,23-1022,direct
23-1023,Judges; Magistrate Judges; and Magistrates,0.4,40.0,23-1023,direct
23-2011,Paralegals and Legal Assistants,0.94,94.0,23-2011,direct
23-2091,Court Reporters,0.5,50.0,23-2091,direct
23-2093,Title Examiners; Abstractors; and Searchers,0.99,99.0,23-2093,direct
25-1000,Postsecondary Teachers,0.032,3.2,25-1000,direct
25-2011,Preschool Teachers; Except Special Education,0.0074,0.74,25-2011,direct
25-2012,Kindergarten Teachers; Except Special Education,0.15,15.0,25-2012,direct
25-2021,Elementary School Teachers; Except Special Education,0.0044,0.44,25-2021,direct
25-2022,Middle School Teachers; Except Special and Career/Technical Education,0.17,17.0,25-2022,direct
25-2023,Career/Technical Education Teachers; Middle School,0.26,26.0,25-2023,direct
25-2031,Secondary School Teachers; Except Special and Career/Technical Education,0.0078,0.78,25-2031,direct
25-2032,Career/Technical Education Teachers; Secondary School,0.0088,0.88,25-2032,direct
25-2053,Special Education Teachers; Middle School,0.016,1.6,25-2053,direct
25-2054,Special Education Teachers; Secondary School,0.0077,0.77,25-2054,direct
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,0.19,19.0,25-3011,direct
25-3021,Self-Enrichment Education Teachers,0.13,13.0,25-3021,direct
25-3999,Teachers and Instructors; All Other,0.0095,0.95,25-3999,direct
25-4011,Archivists,0.76,76.0,25-4011,direct
25-4012,Curators,0.0068,0.68,25-4012,direct
25-4013,Museum Technicians and Conservators,0.59,59.0,25-4013,direct
25-4021,Librarians,0.65,65.0,25-4021,direct
25-4031,Library Technicians,0.99,99.0,25-4031,direct
25-9011,Audio-Visual and Multimedia Collections Specialists,0.39,39.0,25-9011,direct
25-9021,Farm and Home Management Advisors,0.0075,0.75,25-9021,direct
25-9031,Instructional Coordinators,0.0042,0.42,25-9031,direct
25-9041,Teacher Assistants,0.56,56.0,25-9041,direct
27-1011,Art Directors,0.023,2.3,27-1011,direct
27-1012,Craft Artists,0.035,3.5,27-1012,direct
27-1013,Fine Artists; Including Painters; Sculptors; and Illustrators,0.042,4.2,27-1013,direct
27-1014,Multimedia Artists and Animators,0.015,1.5,27-1014,direct
27-1021,Commercial and Industrial Designers,0.037,3.7,27-1021,direct
27-1022,Fashion Designers,0.021,2.1,27-1022,direct
27-1023,Floral Designers,0.047,4.7,27-1023,direct
27-1024,Graphic Designers,0.082,8.2,27-1024,direct
27-1025,Interior Designers,0.022,2.2,27-1025,direct
27-1026,Merchandise Displayers and Window Trimmers,0.48,48.0,27-1026,direct
27-1027,Set and Exhibit Designers,0.0055,0.55,27-1027,direct
27-2011,Actors,0.37,37.0,27-2011,direct
27-2012,Producers and Directors,0.022,2.2,27-2012,direct
27-2021,Athletes and Sports Competitors,0.28,28.0,27-2021,direct
27-2022,Coaches and Scouts,0.013,1.3,27-2022,direct
27-2023,Umpires; Referees; and Other Sports Officials,0.98,98.0,27-2023,direct
27-2031,Dancers,0.13,13.0,27-2031,direct
27-2032,Choreographers,0.004,0.4,27-2032,direct
27-2041,Music Directors and Composers,0.015,1.5,27-2041,direct
27-2042,Musicians and Singers,0.074,7.4,27-2042,direct
27-3011,Radio and Television Announcers,0.1,10.0,27-3011,direct
27-3012,Public Address System and Other Announcers,0.72,72.0,27-3012,direct
27-3021,Broadcast News Analysts,0.067,6.7,27-3021,direct
27-3022,Reporters and Correspondents,0.11,11.0,27-3022,direct
27-3031,Public Relations Specialists,0.18,18.0,27-3031,direct
27-3041,Editors,0.055,5.5,27-3041,direct
27-3042,Technical Writers,0.89,89.0,27-3042,direct
27-3043,Writers and Authors,0.038,3.8,27-3043,direct
27-3091,Interpreters and Translators,0.38,38.0,27-3091,direct
27-4011,Audio and Video Equipment Technicians,0.55,55.0,27-4011,direct
27-4012,Broadcast Technicians,0.74,74.0,27-4012,direct
27-4013,Radio Operators,0.98,98.0,27-4013,direct
27-4014,Sound Engineering Technicians,0.13,13.0,27-4014,direct
27-4021,Photographers,0.021,2.1,27-4021,direct
27-4031,Camera Operators; Television; Video; and Motion Picture,0.6,60.0,27-4031,direct
27-4032,Film and Video Editors,0.31,31.0,27-4032,direct
29-1011,Chiropractors,0.027,2.7,29-1011,direct
29-1021,Dentists; General,0.0044,0.44,29-1021,direct
29-1022,Oral and Maxillofacial Surgeons,0.0036,0.36,29-1022,direct
29-1023,Orthodontists,0.023,2.3,29-1023,direct
29-1024,Prosthodontists,0.055,5.5,29-1024,direct
29-1031,Dietitians and Nutritionists,0.0039,0.39,29-1031,direct
29-1041,Optometrists,0.14,14.0,29-1041,direct
29-1051,Pharmacists,0.012,1.2,29-1051,direct
29-1060,Physicians and Surgeons,0.0042,0.42,29-1060,direct
29-1071,Physician Assistants,0.14,14.0,29-1071,direct
29-1081,Podiatrists,0.0046,0.46,29-1081,direct
29-1111,Registered Nurses,0.009,0.9,29-1111,direct
29-1122,Occupational Therapists,0.0035,0.35,29-1122,direct
29-1123,Physical Therapists,0.021,2.1,29-1123,direct
29-1124,Radiation Therapists,0.34,34.0,29-1124,direct
29-1125,Recreational Therapists,0.0028,0.28,29-1125,direct
29-1126,Respiratory Therapists,0.066,6.6,29-1126,direct
29-1127,Speech-Language Pathologists,0.0064,0.64,29-1127,direct
29-1131,Veterinarians,0.038,3.8,29-1131,direct
29-1181,Audiologists,0.0033,0.33,29-1181,direct
29-1199,Health Diagnosing and Treating Practitioners; All Other,0.02,2.0,29-1199,direct
29-2011,Medical and Clinical Laboratory Technologists,0.9,90.0,29-2011,direct
29-2012,Medical and Clinical Laboratory Technicians,0.47,47.0,29-2012,direct
29-2021,Dental Hygienists,0.68,68.0,29-2021,direct
29-2031,Cardiovascular Technologists and Technicians,0.23,23.0,29-2031,direct
29-2032,Diagnostic Medical Sonographers,0.35,35.0,29-2032,direct
29-2033,Nuclear Medicine Technologists,0.13,13.0,29-2033,direct
29-2037,Radiologic Technologists and Technicians,0.23,23.0,29-2037,direct
29-2041,Emergency Medical Technicians and Paramedics,0.049,4.9,29-2041,direct
29-2051,Dietetic Technicians,0.13,13.0,29-2051,direct
29-2052,Pharmacy Technicians,0.92,92.0,29-2052,direct
29-2053,Psychiatric Technicians,0.043,4.3,29-2053,direct
29-2054,Respiratory Therapy Technicians,0.1,10.0,29-2054,direct
29-2055,Surgical Technologists,0.34,34.0,29-2055,direct
29-2056,Veterinary Technologists and Technicians,0.029,2.9,29-2056,direct
29-2061,Licensed Practical and Licensed Vocational Nurses,0.058,5.8,29-2061,direct
29-2071,Medical Records and Health Information Technicians,0.91,91.0,29-2071,direct
29-2081,Opticians; Dispensing,0.71,71.0,29-2081,direct
29-2091,Orthotists and Prosthetists,0.0035,0.35,29-2091,direct
29-2799,Health Technologists and Technicians; All Other,0.4,40.0,29-2799,direct
29-9011,Occupational Health and Safety Specialists,0.17,17.0,29-9011,direct
29-9012,Occupational Health and Safety Technicians,0.25,25.0,29-9012,direct
29-9091,Athletic Trainers,0.0071,0.71,29-9091,direct
29-9799,Healthcare Practitioners and Technical Workers; All Other,0.055,5.5,29-9799,direct
31-1011,Home Health Aides,0.39,39.0,31-1011,direct
31-1013,Psychiatric Aides,0.47,47.0,31-1013,direct
31-2011,Occupational Therapy Assistants,0.028,2.8,31-2011,direct
31-2012,Occupational Therapy Aides,0.27,27.0,31-2012,direct
31-2021,Physical Therapist Assistants,0.018,1.8,31-2021,direct
31-2022,Physical Therapist Aides,0.61,61.0,31-2022,direct
31-9011,Massage Therapists,0.54,54.0,31-9011,direct
31-9091,Dental Assistants,0.51,51.0,31-9091,direct
