W_exposure,W_protection,Mean_Delta,Percent_Increase
6,2,3.6100984251968504,65.15748031496062
8,3,4.174606299212599,65.15748031496062
10,3,5.3407185039370075,68.20866141732283
12,4,5.905305118110236,68.7007874015748
14,5,6.470068897637796,68.89763779527559
